Emoji,English,Spanish,French,German,Italian
😀,"Grinning Face","Cara sonriente","Visage souriant","Lächelndes Gesicht","Faccina sorridente"
😁,"Beaming Face With Smiling Eyes","Cara radiante con ojos sonrientes","Visage rayonnant avec yeux souriants","Strahlendes Gesicht mit lächelnden Augen","Viso raggiante con occhi sorridenti"
😂,"Face With Tears of Joy","Cara con lágrimas de alegría","Visage avec larmes de joie","Gesicht mit Freudentränen","Faccina con lacrime di gioia"
🤣,"Rolling on the Floor Laughing","Rodando por el suelo riendo","Roulant par terre de rire","Sich vor Lachen auf dem Boden wälzen","Rotolarsi dalle risate"
😃,"Grinning Face With Big Eyes","Cara sonriente con ojos grandes","Visage souriant avec grands yeux","Lächelndes Gesicht mit großen Augen","Faccina sorridente con occhi grandi"
😄,"Grinning Face With Smiling Eyes","Cara sonriente con ojos sonrientes","Visage souriant avec yeux souriants","Lächelndes Gesicht mit lächelnden Augen","Faccina sorridente con occhi sorridenti"
😅,"Grinning Face With Sweat","Cara sonriente con sudor","Visage souriant avec sueur","Lächelndes Gesicht mit Schweiß","Faccina sorridente con sudore"
😆,"Grinning Squinting Face","Cara sonriente con ojos entrecerrados","Visage souriant avec yeux plissés","Grinsendes Gesicht mit zusammengekniffenen Augen","Faccina sorridente con occhi socchiusi"
😉,"Winking Face","Cara guiñando un ojo","Visage clin d'œil","Zwinkerndes Gesicht","Faccina che fa l'occhiolino"
😊,"Smiling Face With Smiling Eyes","Cara sonriente con ojos sonrientes","Visage souriant avec yeux souriants","Lächelndes Gesicht mit lächelnden Augen","Faccina sorridente con occhi sorridenti"
😋,"Face Savoring Food","Cara saboreando comida","Visage savourant de la nourriture","Gesicht, das Essen genießt","Faccina che gusta il cibo"
😎,"Smiling Face With Sunglasses","Cara sonriente con gafas de sol","Visage souriant avec lunettes de soleil","Lächelndes Gesicht mit Sonnenbrille","Faccina sorridente con occhiali da sole"
😍,"Smiling Face With Heart-Eyes","Cara sonriente con ojos de corazón","Visage souriant avec yeux en forme de cœur","Lächelndes Gesicht mit Herzaugen","Faccina sorridente con occhi a cuore"
😘,"Face Blowing a Kiss","Cara lanzando un beso","Visage envoyant un baiser","Gesicht, das einen Kuss wirft","Faccina che manda un bacio"
😗,"Kissing Face","Cara besando","Visage embrassant","Küssendes Gesicht","Faccina che bacia"
